question,answer
"What is a logarithmic-time algorithm?","A logarithmic-time algorithm is an algorithm whose running time grows logarithmically with the input size."
"What is a sublinear-time algorithm?","A sublinear-time algorithm is an algorithm whose running time is less than linear with respect to the input size."
"What is a quadratic-time algorithm?","A quadratic-time algorithm is an algorithm whose running time grows as the square of the input size."
"What is a cubic-time algorithm?","A cubic-time algorithm is an algorithm whose running time grows as the cube of the input size."
"What is exponential-time algorithm?","An exponential-time algorithm is an algorithm whose running time grows exponentially with the input size."
"What is backtracking?","Backtracking is a general algorithmic technique that considers searching every possible combination in order to solve a computational problem."
"What is the purpose of a pseudocode?","Pseudocode is a high-level description of an algorithm that uses the structural conventions of programming languages but omits details such as variable declarations and language-specific syntax."
"What is a heuristic?","A heuristic is a problem-solving approach that finds a satisfactory solution where finding an optimal or exact solution is impractical or impossible."
"What is the traveling salesman problem (TSP)?","The traveling salesman problem (TSP) is a classic algorithmic problem in the field of computer science and operations research that focuses on optimization. The problem is to find the shortest possible route that visits each city exactly once and returns to the origin city."
"What is the Hamiltonian cycle problem?","The Hamiltonian cycle problem is the problem of determining whether a Hamiltonian cycle exists in a given graph."
"What is the difference between Hamiltonian cycle and Eulerian cycle?","A Hamiltonian cycle visits each vertex exactly once, whereas an Eulerian cycle visits each edge exactly once."
"What is the clique problem?","The clique problem is the problem of finding a complete subgraph (a clique) within a given graph."
"What is the subset-sum problem?","The subset-sum problem is the problem of determining whether there is a subset of a given set of integers that sums up to a given sum."
"What is the knapsack problem?","The knapsack problem is a problem in combinatorial optimization where the goal is to maximize the total value of items placed in a knapsack without exceeding its capacity."
"What is a greedy heuristic?","A greedy heuristic is an algorithm that follows the problem-solving heuristic of making the locally optimal choice at each stage."
"What is the difference between greedy algorithm and dynamic programming?","A greedy algorithm makes a series of choices, each of which simply looks the best at the moment, while dynamic programming makes choices by solving subproblems and using their solutions to construct the solution to the overall problem."
"What is the purpose of a flowchart?","A flowchart is a diagram that represents a process, system, or computer algorithm. It uses standardized symbols and shapes to represent different steps and the flow of control."
"What is recursion?","Recursion is a method of solving a problem where the solution depends on solutions to smaller instances of the same problem."
"What is tail recursion?","Tail recursion is a type of recursion where the recursive call is the last operation in the function."
"What is memoization?","Memoization is a technique for improving the performance of recursive algorithms by storing the results of expensive function calls and reusing them when the same inputs occur again."
"What is a stable sorting algorithm?","A stable sorting algorithm maintains the relative order of records with equal keys (i.e., values)."
"What is the difference between merge sort and quick sort?","Merge sort is a stable, divide-and-conquer algorithm with O(n log n) time complexity, whereas quick sort is an unstable, divide-and-conquer algorithm that can have O(n^2) time complexity in the worst case but O(n log n) on average."
"What is a binary heap?","A binary heap is a complete binary tree that satisfies the heap property, where each node's key is greater than or equal to (max heap) or less than or equal to (min heap) the keys of its children."
"What is the purpose of the Fibonacci heap?","A Fibonacci heap is a data structure that consists of a collection of trees and is used to improve the time complexity of Dijkstra's algorithm and other graph algorithms."
"What is the difference between array and linked list?","An array is a collection of elements stored at contiguous memory locations, whereas a linked list is a collection of elements where each element points to the next."
"What is a circular linked list?","A circular linked list is a linked list in which the last node points back to the first node, forming a circle."
"What is the purpose of a sentinel node in linked lists?","A sentinel node is a dummy node used to simplify boundary conditions in data structures such as linked lists."
"What is a deque?","A deque (double-ended queue) is an abstract data type that allows insertion and deletion of elements from both ends."
"Hello?","Hey hello there"
